[2025-12-27 15:33:31] New reservation request: {"packageName":"Couples","reservationDate":"2025-12-27","reservationStartTime":"22:33","reservationCapacity":2,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:48] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:49] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:50] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:50] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:50] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:51] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:51] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:51] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:51] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:52] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:52] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:53] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:53] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:54] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
[2025-12-27 15:35:54] New reservation request: {"packageName":"Friends","reservationDate":"2025-12-27","reservationStartTime":"22:35","reservationCapacity":3,"paymentMethod":"Cash","paymentType":"full"}
